ID	Label	Type	IEDB Label	Synonyms	Restriction Level	Class Type	Parent	In Taxon	With Serotype
MRO:0001552	HLA protein complex with B14 serotype	owl:Class	HLA-B14	HLA-B*14	serotype	equivalent	MHC protein complex	human	HLA-B14 serotype
MRO:0001553	HLA protein complex with B15 serotype	owl:Class	HLA-B15	HLA-B*15	serotype	equivalent	MHC protein complex	human	HLA-B15 serotype
MRO:0001554	HLA protein complex with B16 serotype	owl:Class	HLA-B16	HLA-B*16	serotype	equivalent	MHC protein complex	human	HLA-B16 serotype
MRO:0001555	HLA protein complex with B17 serotype	owl:Class	HLA-B17	HLA-B*17	serotype	equivalent	MHC protein complex	human	HLA-B17 serotype
MRO:0001556	HLA protein complex with B18 serotype	owl:Class	HLA-B18	HLA-B*18	serotype	equivalent	MHC protein complex	human	HLA-B18 serotype
MRO:0001557	HLA protein complex with B27 serotype	owl:Class	HLA-B27	HLA-B*27	serotype	equivalent	MHC protein complex	human	HLA-B27 serotype
MRO:0001558	HLA protein complex with B35 serotype	owl:Class	HLA-B35	HLA-B*35|HLA-B35.3	serotype	equivalent	MHC protein complex	human	HLA-B35 serotype
MRO:0001559	HLA protein complex with B37 serotype	owl:Class	HLA-B37	HLA-B*37	serotype	equivalent	MHC protein complex	human	HLA-B37 serotype
MRO:0001560	HLA protein complex with B38 serotype	owl:Class	HLA-B38	HLA-B*38	serotype	equivalent	MHC protein complex	human	HLA-B38 serotype
MRO:0001561	HLA protein complex with B39 serotype	owl:Class	HLA-B39	HLA-B*39	serotype	equivalent	MHC protein complex	human	HLA-B39 serotype
MRO:0001562	HLA protein complex with B3901 serotype	owl:Class	HLA-B3901		serotype	equivalent	MHC protein complex	human	HLA-B3901 serotype
MRO:0001563	HLA protein complex with B40 serotype	owl:Class	HLA-B40	HLA-B*40	serotype	equivalent	MHC protein complex	human	HLA-B40 serotype
MRO:0001564	HLA protein complex with B41 serotype	owl:Class	HLA-B41	HLA-B*41	serotype	equivalent	MHC protein complex	human	HLA-B41 serotype
MRO:0001565	HLA protein complex with B42 serotype	owl:Class	HLA-B42	HLA-B*42	serotype	equivalent	MHC protein complex	human	HLA-B42 serotype
MRO:0001566	HLA protein complex with B44 serotype	owl:Class	HLA-B44	HLA-B*44	serotype	equivalent	MHC protein complex	human	HLA-B44 serotype
MRO:0001567	HLA protein complex with B45 serotype	owl:Class	HLA-B45	HLA-B*45	serotype	equivalent	MHC protein complex	human	HLA-B45 serotype
MRO:0001568	HLA protein complex with B46 serotype	owl:Class	HLA-B46		serotype	equivalent	MHC protein complex	human	HLA-B46 serotype
MRO:0001569	HLA protein complex with B47 serotype	owl:Class	HLA-B47	HLA-B*47	serotype	equivalent	MHC protein complex	human	HLA-B47 serotype
MRO:0001570	HLA protein complex with B48 serotype	owl:Class	HLA-B48		serotype	equivalent	MHC protein complex	human	HLA-B48 serotype
MRO:0001571	HLA protein complex with B49 serotype	owl:Class	HLA-B49	HLA-B*49	serotype	equivalent	MHC protein complex	human	HLA-B49 serotype
MRO:0001572	HLA protein complex with B50 serotype	owl:Class	HLA-B50	HLA-B*50	serotype	equivalent	MHC protein complex	human	HLA-B50 serotype
MRO:0001573	HLA protein complex with B51 serotype	owl:Class	HLA-B51	HLA-B*51|HLA-B51.1	serotype	equivalent	MHC protein complex	human	HLA-B51 serotype
MRO:0001574	HLA protein complex with B5102 serotype	owl:Class	HLA-B5102		serotype	equivalent	MHC protein complex	human	HLA-B5102 serotype
MRO:0001575	HLA protein complex with B52 serotype	owl:Class	HLA-B52	HLA-B*52	serotype	equivalent	MHC protein complex	human	HLA-B52 serotype
MRO:0001576	HLA protein complex with B53 serotype	owl:Class	HLA-B53	HLA-B*53	serotype	equivalent	MHC protein complex	human	HLA-B53 serotype
MRO:0001577	HLA protein complex with B54 serotype	owl:Class	HLA-B54	HLA-B*54	serotype	equivalent	MHC protein complex	human	HLA-B54 serotype
MRO:0001578	HLA protein complex with B55 serotype	owl:Class	HLA-B55	HLA-B*55	serotype	equivalent	MHC protein complex	human	HLA-B55 serotype
MRO:0001579	HLA protein complex with B56 serotype	owl:Class	HLA-B56		serotype	equivalent	MHC protein complex	human	HLA-B56 serotype
MRO:0001580	HLA protein complex with B57 serotype	owl:Class	HLA-B57	HLA-B*57	serotype	equivalent	MHC protein complex	human	HLA-B57 serotype
MRO:0001581	HLA protein complex with B58 serotype	owl:Class	HLA-B58	HLA-B*58	serotype	equivalent	MHC protein complex	human	HLA-B58 serotype
MRO:0001582	HLA protein complex with B60 serotype	owl:Class	HLA-B60	HLA-B*60	serotype	equivalent	MHC protein complex	human	HLA-B60 serotype
MRO:0001583	HLA protein complex with B61 serotype	owl:Class	HLA-B61	HLA-B*61	serotype	equivalent	MHC protein complex	human	HLA-B61 serotype
MRO:0001584	HLA protein complex with B62 serotype	owl:Class	HLA-B62	HLA-B*62	serotype	equivalent	MHC protein complex	human	HLA-B62 serotype
MRO:0001585	HLA protein complex with B63 serotype	owl:Class	HLA-B63	HLA-B*63	serotype	equivalent	MHC protein complex	human	HLA-B63 serotype
MRO:0001586	HLA protein complex with B65 serotype	owl:Class	HLA-B65		serotype	equivalent	MHC protein complex	human	HLA-B65 serotype
MRO:0001587	HLA protein complex with B7 serotype	owl:Class	HLA-B7	HLA-B*07	serotype	equivalent	MHC protein complex	human	HLA-B7 serotype
MRO:0001588	HLA protein complex with B70 serotype	owl:Class	HLA-B70		serotype	equivalent	MHC protein complex	human	HLA-B70 serotype
MRO:0001589	HLA protein complex with B71 serotype	owl:Class	HLA-B71		serotype	equivalent	MHC protein complex	human	HLA-B71 serotype
MRO:0001590	HLA protein complex with B73 serotype	owl:Class	HLA-B73		serotype	equivalent	MHC protein complex	human	HLA-B73 serotype
MRO:0001591	HLA protein complex with B75 serotype	owl:Class	HLA-B75		serotype	equivalent	MHC protein complex	human	HLA-B75 serotype
MRO:0001592	HLA protein complex with B77 serotype	owl:Class	HLA-B77		serotype	equivalent	MHC protein complex	human	HLA-B77 serotype
MRO:0001593	HLA protein complex with B8 serotype	owl:Class	HLA-B8	HLA-B*08	serotype	equivalent	MHC protein complex	human	HLA-B8 serotype
MRO:0001594	HLA protein complex with B81 serotype	owl:Class	HLA-B81	HLA-B*81	serotype	equivalent	MHC protein complex	human	HLA-B81 serotype
MRO:0001595	HLA protein complex with Bw4 serotype	owl:Class	HLA-Bw4	HLA-B*w4	serotype	equivalent	MHC protein complex	human	HLA-Bw4 serotype
MRO:0001596	HLA protein complex with Cw1 serotype	owl:Class	HLA-Cw1	HLA-Cw*01	serotype	equivalent	MHC protein complex	human	HLA-Cw1 serotype
MRO:0001597	HLA protein complex with Cw10 serotype	owl:Class	HLA-Cw10		serotype	equivalent	MHC protein complex	human	HLA-Cw10 serotype
MRO:0001598	HLA protein complex with Cw12 serotype	owl:Class	HLA-Cw12	HLA-Cw*12	serotype	equivalent	MHC protein complex	human	HLA-Cw12 serotype
MRO:0001599	HLA protein complex with Cw15 serotype	owl:Class	HLA-Cw15	HLA-Cw*15	serotype	equivalent	MHC protein complex	human	HLA-Cw15 serotype
MRO:0001600	HLA protein complex with Cw16 serotype	owl:Class	HLA-Cw16	HLA-Cw*16	serotype	equivalent	MHC protein complex	human	HLA-Cw16 serotype
MRO:0001601	HLA protein complex with Cw2 serotype	owl:Class	HLA-Cw2	HLA-Cw*02	serotype	equivalent	MHC protein complex	human	HLA-Cw2 serotype
MRO:0001602	HLA protein complex with Cw3 serotype	owl:Class	HLA-Cw3	HLA-Cw*03	serotype	equivalent	MHC protein complex	human	HLA-Cw3 serotype
MRO:0001603	HLA protein complex with Cw4 serotype	owl:Class	HLA-Cw4	HLA-Cw*04	serotype	equivalent	MHC protein complex	human	HLA-Cw4 serotype
MRO:0001604	HLA protein complex with Cw5 serotype	owl:Class	HLA-Cw5		serotype	equivalent	MHC protein complex	human	HLA-Cw5 serotype
MRO:0001605	HLA protein complex with Cw6 serotype	owl:Class	HLA-Cw6	HLA-Cw*06	serotype	equivalent	MHC protein complex	human	HLA-Cw6 serotype
MRO:0001606	HLA protein complex with Cw7 serotype	owl:Class	HLA-Cw7	HLA-Cw*07	serotype	equivalent	MHC protein complex	human	HLA-Cw7 serotype
MRO:0001607	HLA protein complex with Cw8 serotype	owl:Class	HLA-Cw8	HLA-Cw*08	serotype	equivalent	MHC protein complex	human	HLA-Cw8 serotype
MRO:0001608	HLA protein complex with Cw9 serotype	owl:Class	HLA-Cw9		serotype	equivalent	MHC protein complex	human	HLA-Cw9 serotype
MRO:0001609	HLA protein complex with DP1 serotype	owl:Class	HLA-DP1		serotype	equivalent	MHC protein complex	human	HLA-DP1 serotype
MRO:0001610	HLA protein complex with DP4 serotype	owl:Class	HLA-DP4		serotype	equivalent	MHC protein complex	human	HLA-DP4 serotype
MRO:0001611	HLA protein complex with DP5 serotype	owl:Class	HLA-DP5		serotype	equivalent	MHC protein complex	human	HLA-DP5 serotype
MRO:0001612	HLA protein complex with DP9 serotype	owl:Class	HLA-DP9		serotype	equivalent	MHC protein complex	human	HLA-DP9 serotype
MRO:0001613	HLA protein complex with DPw1 serotype	owl:Class	HLA-DPw1		serotype	equivalent	MHC protein complex	human	HLA-DPw1 serotype
MRO:0001614	HLA protein complex with DPw2 serotype	owl:Class	HLA-DPw2	HLA-DP2	serotype	equivalent	MHC protein complex	human	HLA-DPw2 serotype
MRO:0001615	HLA protein complex with DPw3 serotype	owl:Class	HLA-DPw3	HLA-DP3	serotype	equivalent	MHC protein complex	human	HLA-DPw3 serotype
MRO:0001616	HLA protein complex with DPw4 serotype	owl:Class	HLA-DPw4	HLA-DP4	serotype	equivalent	MHC protein complex	human	HLA-DPw4 serotype
MRO:0001617	HLA protein complex with DPw5 serotype	owl:Class	HLA-DPw5	HLA-DP5	serotype	equivalent	MHC protein complex	human	HLA-DPw5 serotype
MRO:0001618	HLA protein complex with DPw6 serotype	owl:Class	HLA-DPw6		serotype	equivalent	MHC protein complex	human	HLA-DPw6 serotype
MRO:0001619	HLA protein complex with DQ1 serotype	owl:Class	HLA-DQ1	HLA-DQw1	serotype	equivalent	MHC protein complex	human	HLA-DQ1 serotype
MRO:0001620	HLA protein complex with DQ2 serotype	owl:Class	HLA-DQ2	HLA-DQw2	serotype	equivalent	MHC protein complex	human	HLA-DQ2 serotype
MRO:0001621	HLA protein complex with DQ2.3 serotype	owl:Class	HLA-DQ2.3		serotype	equivalent	MHC protein complex	human	HLA-DQ2.3 serotype
MRO:0001622	HLA protein complex with DQ3 serotype	owl:Class	HLA-DQ3	HLA-DQw3	serotype	equivalent	MHC protein complex	human	HLA-DQ3 serotype
MRO:0001623	HLA protein complex with DQ3.33 serotype	owl:Class	HLA-DQ3.33		serotype	equivalent	MHC protein complex	human	HLA-DQ3.33 serotype
MRO:0001624	HLA protein complex with DQ3t12 serotype	owl:Class	HLA-DQ3t12		serotype	equivalent	MHC protein complex	human	HLA-DQ3t12 serotype
MRO:0001625	HLA protein complex with DQ4 serotype	owl:Class	HLA-DQ4		serotype	equivalent	MHC protein complex	human	HLA-DQ4 serotype
MRO:0001626	HLA protein complex with DQ5 serotype	owl:Class	HLA-DQ5	HLA-DQw5	serotype	equivalent	MHC protein complex	human	HLA-DQ5 serotype
MRO:0001627	HLA protein complex with DQ6 serotype	owl:Class	HLA-DQ6	HLA-DQw6	serotype	equivalent	MHC protein complex	human	HLA-DQ6 serotype
MRO:0001628	HLA protein complex with DQ7 serotype	owl:Class	HLA-DQ7	HLA-DQw7	serotype	equivalent	MHC protein complex	human	HLA-DQ7 serotype
MRO:0001629	HLA protein complex with DQ8 serotype	owl:Class	HLA-DQ8	HLA-DQw8	serotype	equivalent	MHC protein complex	human	HLA-DQ8 serotype
MRO:0001630	HLA protein complex with DQ9 serotype	owl:Class	HLA-DQ9		serotype	equivalent	MHC protein complex	human	HLA-DQ9 serotype
MRO:0001631	HLA protein complex with DQ9.2 serotype	owl:Class	HLA-DQ9.2		serotype	equivalent	MHC protein complex	human	HLA-DQ9.2 serotype
MRO:0001632	HLA protein complex with DR1 serotype	owl:Class	HLA-DR1	HLA-DRB1*01|HLA-DRw1	serotype	equivalent	MHC protein complex	human	HLA-DR1 serotype
MRO:0001633	HLA protein complex with DR10 serotype	owl:Class	HLA-DR10	HLA-DRw10	serotype	equivalent	MHC protein complex	human	HLA-DR10 serotype
MRO:0001634	HLA protein complex with DR103 serotype	owl:Class	HLA-DR103		serotype	equivalent	MHC protein complex	human	HLA-DR103 serotype
MRO:0001635	HLA protein complex with DR11 serotype	owl:Class	HLA-DR11	HLA-DRB1*11|HLA-DRw11	serotype	equivalent	MHC protein complex	human	HLA-DR11 serotype
MRO:0001636	HLA protein complex with DR12 serotype	owl:Class	HLA-DR12	HLA-DR12 DwH|HLA-DRw12	serotype	equivalent	MHC protein complex	human	HLA-DR12 serotype
MRO:0001637	HLA protein complex with DR13 serotype	owl:Class	HLA-DR13	HLA-DRB1*13|HLA-DRw13	serotype	equivalent	MHC protein complex	human	HLA-DR13 serotype
MRO:0001638	HLA protein complex with DR14 serotype	owl:Class	HLA-DR14		serotype	equivalent	MHC protein complex	human	HLA-DR14 serotype
MRO:0001639	HLA protein complex with DR1404 serotype	owl:Class	HLA-DR1404		serotype	equivalent	MHC protein complex	human	HLA-DR1404 serotype
MRO:0001640	HLA protein complex with DR15 serotype	owl:Class	HLA-DR15	HLA-DRB1*15	serotype	equivalent	MHC protein complex	human	HLA-DR15 serotype
MRO:0001641	HLA protein complex with DR16 serotype	owl:Class	HLA-DR16		serotype	equivalent	MHC protein complex	human	HLA-DR16 serotype
MRO:0001642	HLA protein complex with DR17 serotype	owl:Class	HLA-DR17	HLA-DRw17	serotype	equivalent	MHC protein complex	human	HLA-DR17 serotype
MRO:0001643	HLA protein complex with DR18 serotype	owl:Class	HLA-DR18		serotype	equivalent	MHC protein complex	human	HLA-DR18 serotype
MRO:0001644	HLA protein complex with DR2 serotype	owl:Class	HLA-DR2		serotype	equivalent	MHC protein complex	human	HLA-DR2 serotype
MRO:0001645	HLA protein complex with DR3 serotype	owl:Class	HLA-DR3	HLA-DRB1*03	serotype	equivalent	MHC protein complex	human	HLA-DR3 serotype
MRO:0001646	HLA protein complex with DR4 serotype	owl:Class	HLA-DR4	HLA-DRB1*04	serotype	equivalent	MHC protein complex	human	HLA-DR4 serotype
MRO:0001647	HLA protein complex with DR5 serotype	owl:Class	HLA-DR5		serotype	equivalent	MHC protein complex	human	HLA-DR5 serotype
MRO:0001648	HLA protein complex with DR51 serotype	owl:Class	HLA-DR51		serotype	equivalent	MHC protein complex	human	HLA-DR51 serotype
MRO:0001649	HLA protein complex with DR52 serotype	owl:Class	HLA-DR52	HLA-DRB3*52|HLA-DRw52	serotype	equivalent	MHC protein complex	human	HLA-DR52 serotype
MRO:0001650	HLA protein complex with DR53 serotype	owl:Class	HLA-DR53	HLA-DRB4*53|HLA-DRw53	serotype	equivalent	MHC protein complex	human	HLA-DR53 serotype
MRO:0001651	HLA protein complex with DR6 serotype	owl:Class	HLA-DR6	HLA-DRw6	serotype	equivalent	MHC protein complex	human	HLA-DR6 serotype
MRO:0001652	HLA protein complex with DR7 serotype	owl:Class	HLA-DR7	HLA-DR7 Dw11|HLA-DRB1*07	serotype	equivalent	MHC protein complex	human	HLA-DR7 serotype
MRO:0001653	HLA protein complex with DR8 serotype	owl:Class	HLA-DR8	HLA-DRB1*08|HLA-DRw8	serotype	equivalent	MHC protein complex	human	HLA-DR8 serotype
MRO:0001654	HLA protein complex with DR9 serotype	owl:Class	HLA-DR9	HLA-DRB1*09	serotype	equivalent	MHC protein complex	human	HLA-DR9 serotype
MRO:0001655	MHC class I protein complex with serotype	owl:Class	class I		serotype	equivalent	MHC protein complex		MHC class I serotype
MRO:0001656	MHC class II protein complex with serotype	owl:Class	class II		serotype	equivalent	MHC protein complex		MHC class II serotype
MRO:0001657	Mamu protein complex with DR1B serotype	owl:Class	Mamu-DR1B		serotype	equivalent	MHC protein complex	rhesus macaque	Mamu-DR1B serotype
MRO:0001658	Mamu protein complex with DR2 serotype	owl:Class	Mamu-DR2		serotype	equivalent	MHC protein complex	rhesus macaque	Mamu-DR2 serotype
MRO:0001659	Mamu protein complex with DR3A serotype	owl:Class	Mamu-DR3A		serotype	equivalent	MHC protein complex	rhesus macaque	Mamu-DR3A serotype
MRO:0001660	Mamu protein complex with DR4 serotype	owl:Class	Mamu-DR4		serotype	equivalent	MHC protein complex	rhesus macaque	Mamu-DR4 serotype
MRO:0001661	Mamu protein complex with DR6 serotype	owl:Class	Mamu-DR6		serotype	equivalent	MHC protein complex	rhesus macaque	Mamu-DR6 serotype
MRO:0001662	Mamu protein complex with DR7A serotype	owl:Class	Mamu-DR7A		serotype	equivalent	MHC protein complex	rhesus macaque	Mamu-DR7A serotype
MRO:0001663	Mamu protein complex with DR8 serotype	owl:Class	Mamu-DR8		serotype	equivalent	MHC protein complex	rhesus macaque	Mamu-DR8 serotype
MRO:0001664	Patr protein complex with DR1 serotype	owl:Class	Patr-DR1		serotype	equivalent	MHC protein complex	chimpanzee	Patr-DR1 serotype
MRO:0001665	Patr protein complex with DR10 serotype	owl:Class	Patr-DR10		serotype	equivalent	MHC protein complex	chimpanzee	Patr-DR10 serotype
MRO:0001666	Patr protein complex with DR2 serotype	owl:Class	Patr-DR2		serotype	equivalent	MHC protein complex	chimpanzee	Patr-DR2 serotype
MRO:0001667	Patr protein complex with DR3 serotype	owl:Class	Patr-DR3		serotype	equivalent	MHC protein complex	chimpanzee	Patr-DR3 serotype
MRO:0001668	Patr protein complex with DR4 serotype	owl:Class	Patr-DR4		serotype	equivalent	MHC protein complex	chimpanzee	Patr-DR4 serotype
MRO:0001669	Patr protein complex with DR5 serotype	owl:Class	Patr-DR5		serotype	equivalent	MHC protein complex	chimpanzee	Patr-DR5 serotype
MRO:0001670	Patr protein complex with DR7 serotype	owl:Class	Patr-DR7		serotype	equivalent	MHC protein complex	chimpanzee	Patr-DR7 serotype
MRO:0001671	Patr protein complex with DR8 serotype	owl:Class	Patr-DR8		serotype	equivalent	MHC protein complex	chimpanzee	Patr-DR8 serotype
MRO:0001672	Patr protein complex with DR9 serotype	owl:Class	Patr-DR9		serotype	equivalent	MHC protein complex	chimpanzee	Patr-DR9 serotype
MRO:0001673	cattle MHC class I protein complex with serotype	owl:Class	cattle		serotype	equivalent	MHC protein complex	cattle	cattle MHC class I serotype
MRO:0001674	chimpanzee MHC class II protein complex with serotype	owl:Class	chimpanzee		serotype	equivalent	MHC protein complex	chimpanzee	chimpanzee MHC class II serotype
MRO:0001675	human MHC class I protein complex with serotype	owl:Class	human		serotype	equivalent	MHC protein complex	human	human MHC class I serotype
MRO:0001676	human MHC class II protein complex with serotype	owl:Class	human		serotype	equivalent	MHC protein complex	human	human MHC class II serotype
MRO:0001677	rhesus macaque MHC class II protein complex with serotype	owl:Class	rhesus macaque		serotype	equivalent	MHC protein complex	rhesus macaque	rhesus macaque MHC class II serotype
MRO:0001745	cotton-top tamarin MHC class I protein complex with serotype	owl:Class	cotton-top tamarin		serotype	equivalent	MHC protein complex	cotton-top tamarin	cotton-top tamarin MHC class I serotype
MRO:0001845	Saoe protein complex with G*02 serotype	owl:Class	Saoe-G*02		serotype	equivalent	MHC protein complex	cotton-top tamarin	Saoe-G*02 serotype
MRO:0001846	Saoe protein complex with G*04 serotype	owl:Class	Saoe-G*04		serotype	equivalent	MHC protein complex	cotton-top tamarin	Saoe-G*04 serotype
MRO:0001847	Saoe protein complex with G*08 serotype	owl:Class	Saoe-G*08		serotype	equivalent	MHC protein complex	cotton-top tamarin	Saoe-G*08 serotype
MRO:0001848	Saoe protein complex with G*12 serotype	owl:Class	Saoe-G*12		serotype	equivalent	MHC protein complex	cotton-top tamarin	Saoe-G*12 serotype
MRO:0001900	HLA protein complex with A18 serotype	owl:Class	HLA-A18	HLA-A*18	serotype	equivalent	MHC protein complex	human	HLA-A18 serotype
MRO:0001901	HLA protein complex with B64 serotype	owl:Class	HLA-B64		serotype	equivalent	MHC protein complex	human	HLA-B64 serotype
MRO:0001982	HLA protein complex with Cw18 serotype	owl:Class	HLA-Cw18	HLA-Cw*18	serotype	equivalent	MHC protein complex	human	HLA-Cw18 serotype
MRO:0002020	HLA protein complex with B78 serotype	owl:Class	HLA-B78		serotype	equivalent	MHC protein complex	human	HLA-B78 serotype
MRO:0002129	MHC non-classical protein complex with serotype	owl:Class	non-classical		serotype	equivalent	MHC protein complex		MHC non-classical serotype
MRO:0002130	human MHC non-classical protein complex with serotype	owl:Class	human		serotype	equivalent	MHC protein complex	human	human MHC non-classical serotype
MRO:0002131	HLA protein complex with F serotype	owl:Class	HLA-F		serotype	equivalent	MHC protein complex	human	HLA-F serotype
MRO:0002197	HLA protein complex with B23 serotype	owl:Class	HLA-B23	HLA-B*23	serotype	equivalent	MHC protein complex	human	HLA-B23 serotype
