ID	Label	Type	Editor Preferred Term	IEDB Label	Class Type	Parent	Logic	Definition	Definition Source	Example of Usage	Source Ontology	Species Code
NCBITaxon:9823	pig	owl:Class	Sus scrofa		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	SLA
NCBITaxon:9913	cattle	owl:Class	Bos taurus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	BoLA
NCBITaxon:9925	goat	owl:Class	Capra hircus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Cahi
NCBITaxon:9940	domestic sheep	owl:Class	Ovis aries		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Ovar
NCBITaxon:9986	rabbit	owl:Class	Oryctolagus cuniculus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	RLA
NCBITaxon:10090	mouse	owl:Class	Mus musculus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	H2
NCBITaxon:10116	rat	owl:Class	Rattus norvegicus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	RT1
NCBITaxon:30588	golden lion tamarin	owl:Class	Leontopithecus rosalia		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Lero
NCBITaxon:30591	Azara's night monkey	owl:Class	Aotus azarai		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Aoaz
NCBITaxon:33548	mantled guereza	owl:Class	Colobus guereza		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Cogu
NCBITaxon:36225	blue monkey	owl:Class	Cercopithecus mitis		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Cemi
NCBITaxon:36227	De Brazza's monkey	owl:Class	Cercopithecus neglectus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Cene
NCBITaxon:36229	chacma Baboon	owl:Class	Papio ursinus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Paur
NCBITaxon:37174	bighorn sheep	owl:Class	Ovis canadensis		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Ovca
NCBITaxon:37293	Nancy Ma's night monkey	owl:Class	Aotus nancymaae		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Aona
NCBITaxon:43147	gray-bellied night monkey	owl:Class	Aotus lemurinus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Aole
NCBITaxon:43777	white-faced saki	owl:Class	Pithecia pithecia		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Pipi
NCBITaxon:43778	Geoffroy's tamarin	owl:Class	Saguinus geoffroyi		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Sage
NCBITaxon:54601	lion-tailed macaque	owl:Class	Macaca silenus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Masi
NCBITaxon:54602	Milne Edward's macaque	owl:Class	Macaca thibetana		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Math
NCBITaxon:57175	black-headed night monkey	owl:Class	Aotus nigriceps		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Aoni
NCBITaxon:57176	Spix's night monkey	owl:Class	Aotus vociferans		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Aovo
NCBITaxon:60710	vervet monkey	owl:Class	Chlorocebus pygerythrus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Chpy
NCBITaxon:60711	green monkey	owl:Class	Chlorocebus sabaeus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Chsa
NCBITaxon:61622	golden snub-nosed monkey	owl:Class	Rhinopithecus roxellana		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Rhro
NCBITaxon:75566	black crested mangabey	owl:Class	Lophocebus aterrimus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Loat
NCBITaxon:78454	white-lipped tamarin	owl:Class	Saguinus labiatus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Sala
NCBITaxon:81572	silvery Javan gibbon	owl:Class	Hylobates moloch		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Hymo
NCBITaxon:88029	northern plains gray langur	owl:Class	Semnopithecus entellus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Seen
NCBITaxon:90387	northern pig-tailed macaque	owl:Class	Macaca leonina		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Malo
NCBITaxon:100937	Guinea baboon	owl:Class	Papio papio		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Papp
NCBITaxon:182253	Guatemalan black howler	owl:Class	Alouatta pigra		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Alpi
NCBITaxon:499232	eastern gorilla	owl:Class	Gorilla beringei		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Gobe
PR:000000001	protein	owl:Class	protein		subclass	material entity					http://purl.obolibrary.org/obo/pr.owl	
PR:000004580	Beta-2-microglobulin	owl:Class	Beta-2-microglobulin		equivalent	protein	('gene product of' some 'Beta-2-microglobulin gene')	A protein that is a translation product of the human B2M gene or a 1:1 ortholog thereof.			http://purl.obolibrary.org/obo/pr.owl	
SO:0000355	haplotype_block	owl:Class	haplotype_block		subclass			A region of the genome which is co-inherited as the result of the lack of historic recombination within it.			http://purl.obolibrary.org/obo/so.owl	
SO:0000704	gene	owl:Class	gene		subclass			A region (or regions) that includes all of the sequence elements necessary to encode a functional transcript. A gene may include regulatory regions, transcribed regions and/or other functional sequence regions.			http://purl.obolibrary.org/obo/so.owl	
SO:0001024	haplotype	owl:Class	haplotype		subclass			A haplotype is one of a set of coexisting sequence variants of a haplotype block.			http://purl.obolibrary.org/obo/so.owl	
owl:Thing	owl:Thing	owl:Class										
